train_accuracy,val_accuracy,eval_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0.92175573,0.6442308,0.7734375,1.6750633716583252,False,,,34,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-23,1610709323,86.21023297309875,2411397,iss-dllab01,129.69.34.55,86.21023297309875,0,34,930661e4,10_prepare.clahe_flag=True
0.9198473,0.8942308,0.8828125,1.7013649940490723,False,,,35,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-24,1610709324,87.91159796714783,2411397,iss-dllab01,129.69.34.55,87.91159796714783,0,35,930661e4,10_prepare.clahe_flag=True
0.92848104,0.9230769,0.890625,1.6999413967132568,False,,,36,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-26,1610709326,89.61153936386108,2411397,iss-dllab01,129.69.34.55,89.61153936386108,0,36,930661e4,10_prepare.clahe_flag=True
0.93956745,0.96153843,0.84375,1.697779893875122,False,,,37,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-28,1610709328,91.3093192577362,2411397,iss-dllab01,129.69.34.55,91.3093192577362,0,37,930661e4,10_prepare.clahe_flag=True
0.9433121,0.91346157,0.8359375,1.6898770332336426,False,,,38,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-29,1610709329,92.99919629096985,2411397,iss-dllab01,129.69.34.55,92.99919629096985,0,38,930661e4,10_prepare.clahe_flag=True
0.94240505,0.88461536,0.8359375,1.698873519897461,False,,,39,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-31,1610709331,94.69806981086731,2411397,iss-dllab01,129.69.34.55,94.69806981086731,0,39,930661e4,10_prepare.clahe_flag=True
0.9293893,0.86538464,0.875,1.6746785640716553,False,,,40,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-33,1610709333,96.37274837493896,2411397,iss-dllab01,129.69.34.55,96.37274837493896,0,40,930661e4,10_prepare.clahe_flag=True
0.9478372,0.91346157,0.859375,1.6970436573028564,False,,,41,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-34,1610709334,98.06979203224182,2411397,iss-dllab01,129.69.34.55,98.06979203224182,0,41,930661e4,10_prepare.clahe_flag=True
0.9424779,0.9423077,0.828125,1.716651201248169,False,,,42,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-36,1610709336,99.78644323348999,2411397,iss-dllab01,129.69.34.55,99.78644323348999,0,42,930661e4,10_prepare.clahe_flag=True
0.9478372,0.9326923,0.8671875,1.7124018669128418,False,,,43,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-38,1610709338,101.49884510040283,2411397,iss-dllab01,129.69.34.55,101.49884510040283,0,43,930661e4,10_prepare.clahe_flag=True
0.94974554,0.875,0.75,1.714143991470337,False,,,44,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-40,1610709340,103.21298909187317,2411397,iss-dllab01,129.69.34.55,103.21298909187317,0,44,930661e4,10_prepare.clahe_flag=True
0.9478372,0.9326923,0.90625,1.6931126117706299,False,,,45,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-41,1610709341,104.9061017036438,2411397,iss-dllab01,129.69.34.55,104.9061017036438,0,45,930661e4,10_prepare.clahe_flag=True
0.9576486,0.9230769,0.8125,1.6772947311401367,False,,,46,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-43,1610709343,106.58339643478394,2411397,iss-dllab01,129.69.34.55,106.58339643478394,0,46,930661e4,10_prepare.clahe_flag=True
0.94910944,0.875,0.7890625,1.7011151313781738,False,,,47,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-45,1610709345,108.28451156616211,2411397,iss-dllab01,129.69.34.55,108.28451156616211,0,47,930661e4,10_prepare.clahe_flag=True
0.95737916,0.88461536,0.7734375,1.7332732677459717,False,,,48,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-46,1610709346,110.01778483390808,2411397,iss-dllab01,129.69.34.55,110.01778483390808,0,48,930661e4,10_prepare.clahe_flag=True
0.95547074,0.9423077,0.8515625,1.6683852672576904,False,,,49,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-48,1610709348,111.68617010116577,2411397,iss-dllab01,129.69.34.55,111.68617010116577,0,49,930661e4,10_prepare.clahe_flag=True
0.9503817,0.8269231,0.6640625,1.688532829284668,False,,,50,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-50,1610709350,113.37470293045044,2411397,iss-dllab01,129.69.34.55,113.37470293045044,0,50,930661e4,10_prepare.clahe_flag=True
0.9611465,0.9230769,0.8828125,1.6963708400726318,False,,,51,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-51,1610709351,115.07107377052307,2411397,iss-dllab01,129.69.34.55,115.07107377052307,0,51,930661e4,10_prepare.clahe_flag=True
0.95229006,0.91346157,0.8046875,1.685595989227295,False,,,52,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-53,1610709353,116.75666975975037,2411397,iss-dllab01,129.69.34.55,116.75666975975037,0,52,930661e4,10_prepare.clahe_flag=True
0.9548346,0.9326923,0.8203125,1.7082791328430176,False,,,53,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-55,1610709355,118.46494889259338,2411397,iss-dllab01,129.69.34.55,118.46494889259338,0,53,930661e4,10_prepare.clahe_flag=True
0.9583333,0.875,0.734375,1.688713550567627,False,,,54,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-56,1610709356,120.15366244316101,2411397,iss-dllab01,129.69.34.55,120.15366244316101,0,54,930661e4,10_prepare.clahe_flag=True
